Time (rel/ms),Date,Time,Type,No.,Phase,Day,duration,System,Channel,F,Fm,PAR,Y(II),ETR
267902640,2022-03-23T23:00:00Z,1899-12-31T14:26:02Z,FO,66,stress,1,1,AMV,C01,235,254,0,0.075,0.0
267908420,2022-03-23T23:00:00Z,1899-12-31T14:26:08Z,FO,67,stress,1,1,AMV,C01,328,400,0,0.180,0.0
267913070,2022-03-23T23:00:00Z,1899-12-31T14:26:13Z,FO,68,stress,1,1,AMV,C01,325,415,0,0.217,0.0
267926240,2022-03-23T23:00:00Z,1899-12-31T14:26:26Z,FO,69,stress,1,1,AMV,C01,176,361,0,0.512,0.0
267930060,2022-03-23T23:00:00Z,1899-12-31T14:26:30Z,FO,70,stress,1,1,,,9,11,0,-,-
267945740,2022-03-23T23:00:00Z,1899-12-31T14:26:45Z,FO,71,stress,1,1,AMV,C02,364,562,0,0.352,0.0
267951740,2022-03-23T23:00:00Z,1899-12-31T14:26:51Z,FO,72,stress,1,1,AMV,C02,400,693,0,0.423,0.0
267957100,2022-03-23T23:00:00Z,1899-12-31T14:26:57Z,FO,73,stress,1,1,AMV,C02,237,508,0,0.533,0.0
267964560,2022-03-23T23:00:00Z,1899-12-31T14:27:04Z,FO,74,stress,1,1,AMV,C02,69,224,0,0.692,0.0
267968560,2022-03-23T23:00:00Z,1899-12-31T14:27:08Z,FO,75,stress,1,1,,,11,11,18,-,-
267987720,2022-03-23T23:00:00Z,1899-12-31T14:27:27Z,FO,76,stress,1,1,AMV,C03,479,951,0,0.496,0.0
268006200,2022-03-23T23:00:00Z,1899-12-31T14:27:46Z,FO,77,stress,1,1,AMV,C03,309,567,0,0.455,0.0
268012720,2022-03-23T23:00:00Z,1899-12-31T14:27:52Z,FO,78,stress,1,1,AMV,C03,224,490,0,0.543,0.0
268018560,2022-03-23T23:00:00Z,1899-12-31T14:27:58Z,FO,79,stress,1,1,AMV,C03,153,697,0,0.780,0.0
268024940,2022-03-23T23:00:00Z,1899-12-31T14:28:04Z,FO,80,stress,1,1,,,12,17,0,-,-
268034300,2022-03-23T23:00:00Z,1899-12-31T14:28:14Z,FO,81,stress,1,1,AMV,C04,294,388,0,0.242,0.0
268041360,2022-03-23T23:00:00Z,1899-12-31T14:28:21Z,FO,82,stress,1,1,AMV,C04,389,666,0,0.416,0.0
268048440,2022-03-23T23:00:00Z,1899-12-31T14:28:28Z,FO,83,stress,1,1,AMV,C04,364,507,0,0.282,0.0
268056500,2022-03-23T23:00:00Z,1899-12-31T14:28:36Z,FO,84,stress,1,1,AMV,C04,445,693,0,0.358,0.0
268062920,2022-03-23T23:00:00Z,1899-12-31T14:28:42Z,FO,85,stress,1,1,,,97,97,0,0.000,0.0
268074660,2022-03-23T23:00:00Z,1899-12-31T14:28:54Z,FO,86,stress,1,1,AMV,C05,293,643,0,0.544,0.0
268082240,2022-03-23T23:00:00Z,1899-12-31T14:29:02Z,FO,87,stress,1,1,AMV,C05,189,416,0,0.546,0.0
268089180,2022-03-23T23:00:00Z,1899-12-31T14:29:09Z,FO,88,stress,1,1,AMV,C05,359,934,0,0.616,0.0
268096580,2022-03-23T23:00:00Z,1899-12-31T14:29:16Z,FO,89,stress,1,1,AMV,C05,237,752,0,0.685,0.0
268101720,2022-03-23T23:00:00Z,1899-12-31T14:29:21Z,FO,90,stress,1,1,,,140,140,0,0.000,0.0
