"","X","Time..rel.ms.","Date","Time","Type","No.","Phase","Day","duration","Channel","F","Fm","PAR","Y.II.","ETR","Column","System","Block","Velocity","Salinity","Temperature","treatments","surf_area"
"1",1,270452880,"2022-03-23T23:00:00Z","1899-12-31T15:08:32Z","FO",394,"stress",1,1,"C01",381,890,"0",0.572,"0.0",33,"IMP","B1","reduced","background","increased","RBI",16.8
"2",2,270460100,"2022-03-23T23:00:00Z","1899-12-31T15:08:40Z","FO",395,"stress",1,1,"C01",432,937,"0",0.539,"0.0",33,"IMP","B1","reduced","background","increased","RBI",16.8
"3",3,270464940,"2022-03-23T23:00:00Z","1899-12-31T15:08:44Z","FO",396,"stress",1,1,"C01",256,623,"0",0.589,"0.0",33,"IMP","B1","reduced","background","increased","RBI",16.8
"4",4,270472820,"2022-03-23T23:00:00Z","1899-12-31T15:08:52Z","FO",397,"stress",1,1,"C01",331,1255,"0",0.736,"0.0",33,"IMP","B1","reduced","background","increased","RBI",16.8
"5",5,270494220,"2022-03-23T23:00:00Z","1899-12-31T15:09:14Z","FO",399,"stress",1,1,"C02",334,955,"0",0.65,"0.0",34,"IMP","B1","reduced","salt","increased","RSI",15.96
"6",6,270499360,"2022-03-23T23:00:00Z","1899-12-31T15:09:19Z","FO",400,"stress",1,1,"C02",346,819,"0",0.578,"0.0",34,"IMP","B1","reduced","salt","increased","RSI",15.96
"7",7,270505560,"2022-03-23T23:00:00Z","1899-12-31T15:09:25Z","FO",401,"stress",1,1,"C02",166,363,"0",0.543,"0.0",34,"IMP","B1","reduced","salt","increased","RSI",15.96
"8",8,270512460,"2022-03-23T23:00:00Z","1899-12-31T15:09:32Z","FO",402,"stress",1,1,"C02",691,1145,"0",0.397,"0.0",34,"IMP","B1","reduced","salt","increased","RSI",15.96
"9",9,270528560,"2022-03-23T23:00:00Z","1899-12-31T15:09:48Z","FO",404,"stress",1,1,"C03",594,1220,"0",0.513,"0.0",35,"IMP","B1","reduced","salt","increased","RSI",14.04
"10",10,270533640,"2022-03-23T23:00:00Z","1899-12-31T15:09:53Z","FO",405,"stress",1,1,"C03",546,1154,"0",0.527,"0.0",35,"IMP","B1","reduced","salt","increased","RSI",14.04
