"","IMP_C01_REC","IMP_C01","IMP_C02_REC","IMP_C02","IMP_C03_REC","IMP_C03","IMP_C04_REC","IMP_C04","IMP_C05","IMP_C06","IMP_C07","IMP_C08","IMP_C09_REC","IMP_C09","IMP_C10","IMP_C11","IMP_C12_REC","IMP_C12","IMP_C13","IMP_C14_REC","IMP_C14","IMP_C15","IMP_C16_REC","IMP_C16","IMP_C17","IMP_C18_REC","IMP_C18","IMP_C19_REC","IMP_C19","IMP_C20_REC","IMP_C20","IMP_C21","IMP_C22_REC","IMP_C22","IMP_C23","IMP_C24","IMP_C25","IMP_C26","IMP_C27_REC","IMP_C27","IMP_C28","IMP_C29_REC","IMP_C29","IMP_C30","IMP_C31_REC","IMP_C31","IMP_C32_REC","IMP_C32","IMP_C33","IMP_C34_REC","IMP_C34","IMP_C35","IMP_C36_REC","IMP_C36","IMP_C37_REC","IMP_C37","IMP_C38","IMP_C39","IMP_C40","IMP_C41_REC","IMP_C41","IMP_C42_REC","IMP_C42","IMP_C43","IMP_C44_REC","IMP_C44","IMP_C45_REC","IMP_C45","IMP_C46_REC","IMP_C46","IMP_C47","IMP_C48","IMP_C49","IMP_C50","IMP_C51","IMP_C52_REC","IMP_C52","IMP_C53_REC","IMP_C53","IMP_C54_REC","IMP_C54","IMP_C55_REC","IMP_C55","IMP_C56","IMP_C57_REC","IMP_C57","IMP_C58_REC","IMP_C58","IMP_C59","IMP_C60_REC","IMP_C60","IMP_C61","IMP_C62","IMP_C63","IMP_C64_REC","IMP_C64","taxonomy","Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species"
"N12017_8304379",122918,116893,135194,139989,78048,77076,118413,114280,70050,71198,127193,31310,66056,87377,22813,68538,47427,147784,62025,103069,67105,125223,87556,54899,61698,109420,98766,47187,99916,112432,89986,143131,101083,128974,50831,41311,74404,67269,55557,58146,32677,89602,109526,10680,110316,89295,115085,31789,37040,33405,30880,130511,118294,85818,54701,60439,119777,28713,48298,53346,50325,122418,61049,91336,69315,115073,109815,58650,71685,151187,64557,29649,57147,42992,84135,123704,62742,132779,131036,110171,89836,86012,99055,24830,74941,70950,113864,74085,10069,89520,143563,24197,45421,43919,99148,95540,"Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(100);Navicula(94);Navicula_radiosa(90);","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Navicula","Navicula_radiosa"
"N7513_1426380",5852,32706,18615,12574,7121,35707,4887,15403,11573,30782,14859,34749,3044,12535,8572,34430,5206,17833,7077,6109,6264,1839,2890,21767,28684,3758,13558,2389,19035,5526,15017,11569,8889,33436,17195,26755,17700,2189,1649,10726,11498,7183,16177,28234,2208,25622,3382,9635,14578,6636,22963,21513,4813,14580,3108,44265,10957,9200,20930,6018,25020,2364,16096,23168,7900,9125,51081,21333,13044,15848,25172,16063,21956,23046,18891,6104,14214,7606,5492,13201,20162,4600,15931,18323,11085,13273,23274,12681,30233,1666,3139,23778,19184,18464,9492,8945,"Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(97);Achnanthidium(94);Achnanthidium_minutissimum(94);","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum"
"N20390_1119666",10391,18157,10761,14161,14028,27644,10985,5544,7041,4450,8279,2129,9027,36235,5115,5139,8662,7018,6271,12264,9177,15026,9033,5257,5313,13203,10231,13880,9415,9439,13040,17502,11361,14548,7834,9653,8241,9102,19781,31363,5537,20167,8585,4097,7908,8376,10076,20635,4354,15590,4226,21089,12507,27322,15803,4219,17332,7839,7407,11319,8901,9074,19550,13668,9825,38434,18738,4676,24575,22576,6705,4453,6933,3614,6526,16936,8339,15301,12736,22408,7666,7695,8557,3425,11128,9211,18022,11739,2096,6340,9454,7223,4584,6380,21121,10775,"Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(95);Navicula(88);Navicula_gregaria(85);","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Navicula","Navicula_gregaria"
"N1353_1024594",9965,12763,3098,9262,4113,14906,3607,3920,11270,25236,7733,12577,1680,19365,14416,20317,7340,20768,8376,3712,2055,4161,2189,12354,18435,4178,21851,3665,23648,6135,4917,20048,15871,8537,7392,25928,13839,2696,2547,10181,8399,21299,13128,25490,2213,24860,6636,8311,10841,6706,6863,24553,2186,3476,3837,14623,5459,7119,8591,5661,4202,1939,10394,18567,5313,11334,38756,11482,13539,12453,19311,9906,10723,16813,9742,3162,3364,8819,6076,10756,10266,10896,10042,9531,5227,14732,7411,2361,16348,1436,945,20838,21920,10563,12384,7256,"Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Araphid-pennate(99);Asterionella(62);Asterionella_formosa(62);","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Araphid-pennate","Asterionella","Asterionella_formosa"
"N39580_924466",0,0,0,1889,0,0,0,0,0,0,0,0,0,0,0,0,1084,0,0,1578,0,0,33552,12488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2362,0,0,0,30003,16012,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Radial-centric-basal-Coscinodiscophyceae(100);Melosira(100);Melosira_varians(100);","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Radial-centric-basal-Coscinodiscophyceae","Melosira","Melosira_varians"
"N49067_817256",4661,9330,9257,18879,6319,4365,5919,5753,3868,5266,3385,53870,3572,7195,1178,2878,7317,10012,1734,5240,4923,850,12276,14899,2248,4674,16066,6206,5714,8077,5365,16552,6797,10426,2455,4375,3348,1638,3284,1696,13503,5859,2804,28691,3529,5452,6429,4529,25294,4408,22849,6063,4852,2688,5466,7089,11405,10715,4500,3539,3305,1804,3623,7707,10527,6537,6745,7861,8368,4718,4292,33733,16940,9405,12318,3217,5045,12454,3120,9415,16661,10393,10928,26788,5461,6328,4883,11086,16232,1578,3183,27580,9792,2580,5545,5573,"Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Araphid-pennate(98);Synedra(97);Synedra_ulna(97);","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Araphid-pennate","Synedra","Synedra_ulna"
"N31648_1563727",26376,14172,16939,31919,14554,33098,20573,4914,5682,925,14174,562,25679,21397,6287,6384,16019,11826,16589,36499,13570,25500,33401,23268,1238,31029,3695,11810,1645,17060,6932,10078,12645,7798,4150,3923,33916,39470,26155,10473,6647,33742,1913,1069,18263,8851,28703,19893,3517,37820,2228,11157,31210,4041,22274,962,18549,5869,3098,42992,9002,16695,12149,13085,16484,12802,13729,4923,50427,11195,8402,3813,2200,3670,4854,30436,5947,46762,15510,40469,11018,23558,15626,701,33831,15367,36526,17481,1034,14806,28163,1594,2310,2577,60627,30832,"Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(95);Surirella(88);Surirella_brebissoni(41);","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Surirella","Surirella_brebissoni"
"N25837_694367",3366,19727,2385,1443,768,17094,2971,2175,3869,24557,7176,34031,1429,10391,2278,21705,2061,5744,2973,1331,539,981,925,8624,29004,893,6147,1194,14193,1415,1854,5422,1962,8886,8785,11046,17297,1330,872,10912,7786,2419,14825,12015,1973,35287,1340,6409,6364,851,2659,12366,2176,2144,2091,6256,2355,5687,7534,1092,1859,2082,7563,17069,3485,4438,8902,10269,2657,8423,27383,4341,10304,20734,7227,1461,744,2455,2114,5326,2624,804,3438,6507,2140,5611,14190,356,18572,877,557,19006,22247,10108,2802,2308,"Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(100);Gomphonema(93);Gomphonema_micropus(92);","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Gomphonema","Gomphonema_micropus"
"N16855_535919",924,2213,2095,3232,531,8695,1024,6046,1015,4948,1789,23425,403,3926,733,11569,575,5584,523,2115,296,86,253,10046,6148,594,8041,199,17429,631,2596,3693,3048,25150,4578,8573,1671,215,156,11074,5018,4642,4123,4774,273,16350,8084,10949,6097,2008,5533,3689,589,6520,282,26741,1363,1350,5262,2319,9999,1085,5199,3867,1918,2772,10730,2217,3979,5707,9736,5814,10669,15350,9583,1414,2179,2401,674,5690,4416,1679,846,4062,6204,5285,36021,2372,27996,1377,450,9897,8980,6630,2854,4059,"Eukaryota(100);Archaeplastida(100);Chlorophyta(100);Chlorophyceae(63);Chaetopeltidales(63);Chaetopeltidaceae(63);Planophila(63);Planophila_laetevirens(63);","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chaetopeltidales","Chaetopeltidaceae","Planophila","Planophila_laetevirens"
"N4153_363990",4079,3543,2229,5925,3792,6610,4223,1751,973,165,1117,52,5496,4278,817,432,4658,2167,722,4077,6484,2664,4057,2526,129,5080,704,4104,922,7870,3250,1386,2313,2076,604,424,1304,4846,5090,3464,484,6247,565,255,3686,2326,7484,2539,507,12255,820,5775,10832,774,8201,412,1902,2380,479,5430,1502,4618,2537,2143,5520,3885,7386,1919,15312,4102,1340,945,375,362,1012,6879,3649,10183,5322,8197,7276,7373,4383,246,4360,1837,6169,5922,72,3741,15363,480,249,352,22439,6784,"Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(55);Nitzschia(38);Nitzschia_apiculata(16);","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_apiculata"
