System,Block,Channel,Velocity,Salinity,Fish,Phase,Temperature,Chl_Höhe,Chl_Breite,surf_area
IMP,B1,C05,normal,background,,stress,increased,3.6,5,18
IMP,B1,C06,reduced,background,,stress,increased,3.5,4.5,15.75
IMP,B1,C07,normal,background,,stress,increased,4,4.5,18
IMP,B1,C08,reduced,salt,,stress,increased,3,4.5,13.5
IMP,B1,C10,reduced,background,,stress,increased,3,4.5,13.5
IMP,B1,C11,reduced,salt,,stress,increased,4,5,20
IMP,B1,C13,normal,salt,,stress,increased,4,6,24
IMP,B1,C15,normal,salt,,stress,increased,4,7,28
IMP,B2,C17,reduced,salt,,stress,normal,4,5,20
IMP,B2,C21,normal,background,,stress,normal,4,4.8,19.2
IMP,B2,C23,normal,background,,stress,normal,5,5,25
IMP,B2,C24,reduced,salt,,stress,normal,4,5,20
IMP,B2,C25,normal,salt,,stress,normal,3.5,4,14
IMP,B2,C26,normal,salt,,stress,normal,4,5,20
IMP,B2,C28,reduced,background,,stress,normal,4,5,20
IMP,B2,C30,reduced,background,,stress,normal,4,4.5,18
IMP,B3,C33,reduced,background,,stress,normal,4,5,20
IMP,B3,C35,normal,background,,stress,normal,4,6,24
IMP,B3,C38,normal,salt,,stress,normal,4,4,16
IMP,B3,C39,reduced,background,,stress,normal,4,5,20
IMP,B3,C40,reduced,salt,,stress,normal,4,4,16
IMP,B3,C43,normal,background,,stress,normal,4,5,20
IMP,B3,C47,normal,salt,,stress,normal,4,5,20
IMP,B3,C48,reduced,salt,,stress,normal,4,4,16
IMP,B4,C49,normal,salt,,stress,increased,4,5,20
IMP,B4,C50,reduced,salt,,stress,increased,4,5,20
IMP,B4,C51,normal,salt,,stress,increased,4,5.2,20.8
IMP,B4,C56,reduced,background,,stress,increased,4,5.3,21.2
IMP,B4,C59,reduced,background,,stress,increased,4,6,24
IMP,B4,C61,reduced,salt,,stress,increased,4,7,28
IMP,B4,C62,normal,background,,stress,increased,4,5.5,22
IMP,B4,C63,normal,background,,stress,increased,4,4.8,19.2
